URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/1399466.html,サヴォイラクアティック,福岡県福岡市博多区東比恵4丁目2番23号,"['西鉄バス「比恵」バス停より 徒歩2分', '東比恵駅より 徒歩2分', '博多駅より 徒歩15分']",2019-6,福岡市博多区,33.5878691,130.431114
https://db.self-in.com/mansion/1412316.html,サングレート博多ロイヤルマークス,福岡県福岡市博多区半道橋1丁目4番12号,"['東比恵駅より 徒歩12分', '西鉄「半道橋」バス停より 徒歩3分']",2019-6,福岡市博多区,33.5820549,130.437429
https://db.self-in.com/mansion/1412382.html,ネストピア博多グランドステージ2,福岡県福岡市博多区吉塚6丁目5番25号,['吉塚駅より 徒歩7分'],2019-3,福岡市博多区,33.6058408,130.4291887
https://db.self-in.com/mansion/769860.html,モントーレ東比恵クレア,福岡県福岡市博多区東比恵3丁目19番,['東比恵駅より 徒歩3分'],2019-3,福岡市博多区,33.5879035,130.4323728
https://db.self-in.com/mansion/784978.html,エンクレスト博多EAST PARK,福岡県福岡市博多区千代1丁目21番7号,"['千代県庁口駅より 徒歩4分', '吉塚駅より 徒歩12分']",2019-3,福岡市博多区,33.6023871,130.416585
https://db.self-in.com/mansion/1397929.html,エンクレストベイ天神東３,福岡県福岡市博多区築港本町5番8号,"['中洲川端駅より 徒歩12分', '築港本町（ベイサイド通り）バス停より 徒歩3分']",2019-3,福岡市博多区,33.6004762,130.4002452
https://db.self-in.com/mansion/770845.html,プレサンスロジェ呉服町,福岡県福岡市博多区下呉服町2番2号,"['呉服町駅より 徒歩5分', '中洲川端駅より 徒歩10分']",2019-2,福岡市博多区,33.6004779,130.4067863
https://db.self-in.com/mansion/771192.html,ジェイグラン南福岡サンリヤン,福岡県福岡市博多区三筑2丁目6番12号,"['笹原駅より 徒歩9分', '雑餉隈駅より 徒歩11分', '南福岡駅より 徒歩13分']",2019-2,福岡市博多区,33.5489182,130.4540319
https://db.self-in.com/mansion/1412261.html,サングレート博多ロイヤルプレイス,福岡県福岡市博多区諸岡1丁目20番15号,"['笹原駅より 徒歩17分', '井尻駅より 徒歩18分', '西鉄バス「諸岡」バス停より 徒歩4分']",2019-1,福岡市博多区,33.563114,130.4490169
https://db.self-in.com/mansion/1399470.html,サヴォイブロンズガーデニア,福岡県福岡市博多区吉塚6丁目6番1号,"['吉塚駅より 徒歩7分', '馬出九大病院前駅より 徒歩14分', '西鉄バス「道頓堀」バス停より 徒歩3分']",2019-1,福岡市博多区,33.6060073,130.430573
https://db.self-in.com/mansion/1479235.html,LANDIC S４１７３,福岡県福岡市博多区住吉4丁目17番3号,"['渡辺通駅より 徒歩10分', '薬院駅より 徒歩13分', '博多駅より 徒歩15分']",2018-12,福岡市博多区,33.5834504,130.4122012
https://db.self-in.com/mansion/771189.html,グランフォーレ南福岡レジデンス,福岡県福岡市博多区相生町2丁目3番22号,"['南福岡駅より 徒歩4分', '雑餉隈駅より 徒歩7分']",2018-12,福岡市博多区,33.5445475,130.4586939
